Epoch: 001, Train Acc: 0.4228, Train Loss: 0.8835, Valid Acc: 0.4130, Valid Loss: 0.8626, Test Acc: 0.4250, Test Loss: 0.8651
Epoch: 002, Train Acc: 0.6010, Train Loss: 0.8779, Valid Acc: 0.6522, Valid Loss: 0.8588, Test Acc: 0.6500, Test Loss: 0.8608
Epoch: 003, Train Acc: 0.3943, Train Loss: 0.8776, Valid Acc: 0.3696, Valid Loss: 0.8628, Test Acc: 0.3917, Test Loss: 0.8633
Epoch: 004, Train Acc: 0.6366, Train Loss: 0.8711, Valid Acc: 0.6522, Valid Loss: 0.8520, Test Acc: 0.6417, Test Loss: 0.8539
Epoch: 005, Train Acc: 0.6413, Train Loss: 0.8667, Valid Acc: 0.6304, Valid Loss: 0.8496, Test Acc: 0.6583, Test Loss: 0.8502
Epoch: 006, Train Acc: 0.5938, Train Loss: 0.8618, Valid Acc: 0.5870, Valid Loss: 0.8511, Test Acc: 0.6333, Test Loss: 0.8490
Epoch: 007, Train Acc: 0.6485, Train Loss: 0.8644, Valid Acc: 0.5870, Valid Loss: 0.8455, Test Acc: 0.6333, Test Loss: 0.8419
Epoch: 008, Train Acc: 0.6960, Train Loss: 0.8523, Valid Acc: 0.6739, Valid Loss: 0.8346, Test Acc: 0.6750, Test Loss: 0.8314
Epoch: 009, Train Acc: 0.6865, Train Loss: 0.8432, Valid Acc: 0.7174, Valid Loss: 0.8284, Test Acc: 0.7000, Test Loss: 0.8210
Epoch: 010, Train Acc: 0.7173, Train Loss: 0.8251, Valid Acc: 0.6739, Valid Loss: 0.8176, Test Acc: 0.7333, Test Loss: 0.8067
Epoch: 011, Train Acc: 0.7268, Train Loss: 0.8265, Valid Acc: 0.6522, Valid Loss: 0.8142, Test Acc: 0.7417, Test Loss: 0.7960
Epoch: 012, Train Acc: 0.7245, Train Loss: 0.8124, Valid Acc: 0.6739, Valid Loss: 0.8061, Test Acc: 0.7333, Test Loss: 0.7863
Epoch: 013, Train Acc: 0.7957, Train Loss: 0.8022, Valid Acc: 0.7391, Valid Loss: 0.8029, Test Acc: 0.7833, Test Loss: 0.7734
Epoch: 014, Train Acc: 0.7743, Train Loss: 0.7824, Valid Acc: 0.6739, Valid Loss: 0.8032, Test Acc: 0.7917, Test Loss: 0.7603
Epoch: 015, Train Acc: 0.7720, Train Loss: 0.7876, Valid Acc: 0.6304, Valid Loss: 0.7929, Test Acc: 0.7750, Test Loss: 0.7486
Epoch: 016, Train Acc: 0.7862, Train Loss: 0.7777, Valid Acc: 0.6522, Valid Loss: 0.7862, Test Acc: 0.8000, Test Loss: 0.7390
Epoch: 017, Train Acc: 0.7791, Train Loss: 0.7627, Valid Acc: 0.7174, Valid Loss: 0.8052, Test Acc: 0.8083, Test Loss: 0.7474
Epoch: 018, Train Acc: 0.7292, Train Loss: 0.7673, Valid Acc: 0.5870, Valid Loss: 0.7845, Test Acc: 0.6583, Test Loss: 0.7601
Epoch: 019, Train Acc: 0.7886, Train Loss: 0.7612, Valid Acc: 0.7391, Valid Loss: 0.7905, Test Acc: 0.7917, Test Loss: 0.7299
Epoch: 020, Train Acc: 0.7720, Train Loss: 0.7586, Valid Acc: 0.7391, Valid Loss: 0.7975, Test Acc: 0.7917, Test Loss: 0.7367
Epoch: 021, Train Acc: 0.7435, Train Loss: 0.7720, Valid Acc: 0.5870, Valid Loss: 0.7654, Test Acc: 0.7500, Test Loss: 0.7329
Epoch: 022, Train Acc: 0.7862, Train Loss: 0.7558, Valid Acc: 0.6522, Valid Loss: 0.7638, Test Acc: 0.7917, Test Loss: 0.7125
Epoch: 023, Train Acc: 0.8076, Train Loss: 0.7414, Valid Acc: 0.6739, Valid Loss: 0.7883, Test Acc: 0.8167, Test Loss: 0.7042
Epoch: 024, Train Acc: 0.6770, Train Loss: 0.7293, Valid Acc: 0.5435, Valid Loss: 0.7936, Test Acc: 0.5917, Test Loss: 0.7678
Epoch: 025, Train Acc: 0.8147, Train Loss: 0.7399, Valid Acc: 0.6304, Valid Loss: 0.7778, Test Acc: 0.8250, Test Loss: 0.6969
Epoch: 026, Train Acc: 0.8147, Train Loss: 0.7443, Valid Acc: 0.6304, Valid Loss: 0.7683, Test Acc: 0.8083, Test Loss: 0.6999
Epoch: 027, Train Acc: 0.8029, Train Loss: 0.7332, Valid Acc: 0.6522, Valid Loss: 0.7543, Test Acc: 0.7833, Test Loss: 0.6993
Epoch: 028, Train Acc: 0.8290, Train Loss: 0.7438, Valid Acc: 0.6739, Valid Loss: 0.7468, Test Acc: 0.8083, Test Loss: 0.6860
Epoch: 029, Train Acc: 0.7387, Train Loss: 0.7316, Valid Acc: 0.6304, Valid Loss: 0.7556, Test Acc: 0.7250, Test Loss: 0.7280
Epoch: 030, Train Acc: 0.7577, Train Loss: 0.7638, Valid Acc: 0.6087, Valid Loss: 0.7571, Test Acc: 0.7167, Test Loss: 0.7212
Epoch: 031, Train Acc: 0.8242, Train Loss: 0.7130, Valid Acc: 0.6739, Valid Loss: 0.7906, Test Acc: 0.8167, Test Loss: 0.6982
Epoch: 032, Train Acc: 0.8409, Train Loss: 0.7217, Valid Acc: 0.6522, Valid Loss: 0.7822, Test Acc: 0.8333, Test Loss: 0.6892
Epoch: 033, Train Acc: 0.8029, Train Loss: 0.7263, Valid Acc: 0.6957, Valid Loss: 0.7456, Test Acc: 0.7833, Test Loss: 0.6850
Epoch: 034, Train Acc: 0.8551, Train Loss: 0.7033, Valid Acc: 0.7174, Valid Loss: 0.7741, Test Acc: 0.8167, Test Loss: 0.6839
Epoch: 035, Train Acc: 0.7767, Train Loss: 0.7040, Valid Acc: 0.6522, Valid Loss: 0.7473, Test Acc: 0.7250, Test Loss: 0.6987
Epoch: 036, Train Acc: 0.8242, Train Loss: 0.7088, Valid Acc: 0.7174, Valid Loss: 0.7956, Test Acc: 0.7917, Test Loss: 0.6986
Epoch: 037, Train Acc: 0.8266, Train Loss: 0.7006, Valid Acc: 0.6957, Valid Loss: 0.7955, Test Acc: 0.8000, Test Loss: 0.6974
Epoch: 038, Train Acc: 0.8622, Train Loss: 0.6998, Valid Acc: 0.7174, Valid Loss: 0.7491, Test Acc: 0.8167, Test Loss: 0.6806
Epoch: 039, Train Acc: 0.8622, Train Loss: 0.6916, Valid Acc: 0.7826, Valid Loss: 0.7138, Test Acc: 0.7917, Test Loss: 0.6875
Epoch: 040, Train Acc: 0.8599, Train Loss: 0.7019, Valid Acc: 0.7391, Valid Loss: 0.7159, Test Acc: 0.7917, Test Loss: 0.6797
